                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4289,                 5.3584,                 1.2651,                0.54356,                0.17055,                0.20065,                0.08459,                 2.0951,                  2.748,                  1.161,               0.070178,              0.0033136,              0.0033136
                      1,                 2.3581,                 3.4441,                 1.1293,                 0.3863,                0.14555,                 0.1232,                0.05732,                 2.1205,                  2.456,                 1.2136,               0.040156,               0.006625,               0.006625
                      2,                 2.3114,                 3.5307,                 1.1886,                0.78713,                0.13743,                0.13609,                0.05987,                 2.3445,                  3.736,                 1.2482,               0.010112,              0.0099144,              0.0099144
                      3,                 2.5103,                 3.4636,                 1.3076,                0.40067,                0.28262,                 0.2766,                0.14216,                 2.5078,                  3.417,                 1.3283,               0.009901,               0.009901,               0.009901
                      4,                 2.4021,                 2.9036,                 1.2146,                0.01116,                0.35834,                0.04927,                0.01822,                 2.4623,                 3.0112,                 1.3198,               0.009901,               0.009901,               0.009901
                      5,                 2.5691,                 2.8159,                 1.1859,                0.24127,                0.17722,                 0.0623,                0.01669,                 2.6869,                 4.1632,                 1.3802,               0.009868,               0.009868,               0.009868
                      6,                 2.4417,                 2.9806,                 1.1835,                0.23612,                0.17999,                0.07843,                0.02778,                 2.6977,                 3.2037,                 1.4137,               0.009835,               0.009835,               0.009835
                      7,                 2.5856,                 3.2473,                 1.1945,                0.74427,                0.06206,                0.10035,                0.02465,                 2.7196,                 3.2014,                 1.3255,               0.009802,               0.009802,               0.009802
                      8,                 2.7472,                 2.8231,                 1.2266,                0.74897,                0.11024,                0.10418,                0.02746,                 2.8022,                 3.0921,                 1.4587,               0.009769,               0.009769,               0.009769
                      9,                 2.6262,                 2.8599,                 1.2674,                0.38543,                0.09891,                0.10786,                0.03825,                 3.0181,                 2.7608,                 1.4705,               0.009736,               0.009736,               0.009736
                     10,                 2.6827,                 2.6579,                 1.3338,                0.46107,                0.22704,                0.16649,                0.05167,                 2.7098,                 2.7195,                 1.3465,               0.009703,               0.009703,               0.009703
                     11,                 2.5903,                 2.4279,                 1.1962,                0.19555,                0.11899,                0.07878,                0.02274,                 2.8092,                 3.9331,                 1.3635,                0.00967,                0.00967,                0.00967
                     12,                  2.588,                 2.4144,                 1.1914,                0.18975,                0.25753,                0.12616,                 0.0388,                 2.7454,                 3.1029,                 1.3854,               0.009637,               0.009637,               0.009637
                     13,                 2.6343,                 2.4411,                 1.1663,                0.37146,                0.24619,                0.20158,                0.07069,                 2.6751,                 2.0493,                 1.3487,               0.009604,               0.009604,               0.009604
                     14,                 2.5268,                 2.4678,                 1.1985,                0.29413,                0.23241,                 0.1536,                0.05449,                 2.7141,                 2.2858,                 1.4409,               0.009571,               0.009571,               0.009571
                     15,                 2.7435,                 2.4408,                 1.2944,                0.40814,                0.20881,                0.18184,                0.05781,                 2.5755,                 2.2732,                 1.3147,               0.009538,               0.009538,               0.009538
                     16,                 2.4224,                 2.3058,                  1.239,                0.34543,                0.23079,                0.16615,                0.06973,                 2.6253,                      2,                 1.3308,               0.009505,               0.009505,               0.009505
